100	43	21	41	13	43	51	33	32	52	41	12	22	33	23	
101	53	42	22	53	51	31	31	51	23	52	51	12	13	21	
102	51	52	41	11	41	22	31	41	51	33	42	51	51	23	
0	32	52	11	33	42	42	23	42	12	43	23	12	32	12	
1	33	52	31	23	21	23	13	41	52	41	21	12	41	42	
2	11	22	13	53	52	31	13	33	12	42	23	32	52	32	
3	43	13	41	53	11	12	41	21	12	53	42	11	12	52	
4	21	31	51	53	31	11	23	51	43	42	42	33	53	42	
5	51	12	33	32	21	51	42	52	31	51	43	51	13	12	
6	41	11	21	23	13	22	51	33	12	43	42	21	53	31	
7	21	52	53	32	52	21	23	43	31	31	12	22	33	32	
8	23	31	22	52	43	21	21	51	12	41	23	53	32	12	
9	11	23	22	12	12	52	43	43	12	33	31	32	53	23	
10	31	41	21	11	11	42	12	23	42	41	42	12	53	52	
11	52	31	52	41	53	12	33	21	23	31	43	41	41	22	
12	12	13	31	33	31	52	23	23	22	32	41	41	52	33	
13	31	32	13	52	43	43	23	13	13	11	12	31	51	33	
14	43	41	53	21	23	52	52	51	12	41	21	22	21	33	
15	52	13	22	53	41	13	11	32	42	12	51	22	51	42	
16	52	22	33	31	42	43	42	52	22	42	12	31	51	41	
17	13	21	11	11	42	43	33	32	13	13	53	32	32	23	
18	13	52	31	31	43	42	31	43	53	42	51	21	13	32	
19	43	12	52	11	11	22	33	33	33	12	52	21	41	52	
20	53	42	53	23	52	42	33	32	31	53	13	53	32	12	
21	51	52	51	23	41	52	23	32	43	31	33	22	42	21	
22	23	42	53	22	21	41	21	11	51	51	22	22	11	11	
23	41	11	22	12	22	23	22	43	12	53	53	22	43	32	
24	52	41	31	52	13	32	12	23	31	31	42	33	51	53	
25	21	51	11	33	12	13	21	42	43	12	53	13	51	33	
26	52	22	42	41	13	32	22	32	31	22	41	21	42	53	
27	11	23	11	13	51	53	23	32	32	52	53	23	32	33	
28	22	21	42	21	32	53	53	51	21	42	53	33	31	33	
29	22	42	33	31	23	53	23	33	41	11	51	51	42	22	
